,neutral,toxic
204,"плохой продажный человек, и его швыранут, будет как на украине, только бы ребят вернуть! спаси и сохрани их господи!",False
205,пашинян дорогой убери этих в сторону,False
206,за разговоры попроси у путина,False
207,У нас какие-то дураки ёлку из окна на газон выбросили,True
208,Поймать этого человека и наказать!,False
209,этих  слуг народа нужно судить и вешать по всей стране,True
210,Ты что игрушек нашёл,False
211,Девушки молодцы.Парень снимает ещё и комментирует,False
212,Неуклюжий выход на подиум для всеобщего посмешища.,False
213,"Если мы сами этим людям не скажем ""нет"", то так и будет.",False
214,Лишняя буква у тебя. Раунд!,False
215,Потому что они уже трубопровод туда планируют протянуть,False
216,Передайте пожалуйста патрон.,False
217,показуха да и только.в книгу рекордов гиннесса не попали.,False
218,Как бы сказал тов сталин расстрелять надо,True
219,есть вопрос - скажи а соседи знают кто ты?,False
220,На какое противоречие ты указал? Там ясно указан разграничительный признак.,False
221,Он на Сола Гудмана похож,False
222,лучше бы в баню с женою сходил или с девушкой жаркой,False
223,бежал бы впереди паровоза,False
224,"Девочка очень хорошая, а глупец тот, кто торгует её фотографиями.",False
225,"Слышишь, при чем моя семья?",False
226,Скучные у него стримы.,False
227,"Людей за деньги на улицы вывели, чтобы опять его во власть вернуть.",False
228,"Глупый человек,мой президент Путин ! А твой?",False
229,"Зачем вы его выпускаете ? Зная соседей, он страдает из-за их беспечности",False
230,А вы плохие люди учились платно?,False
231,"Хозяин, давай на улицу! Подпёрло ужо!",False
232,полностью согласна. из-за таких потом на обычную удочку поймать ничего невозможно. так и надо!!!!,False
233,Если про следят за человеком то накажуи,False
234,А не отстать бы тебе от меня,False
235,"это написал евгений агронович, а не пушкин!",False
236,"да он здоровый  . и самое главное, что бог его не наказывает.",False
237,Сидишь и тусуешь!!! Просто нет слов,False
238,Глупая хоть одна подруга найдется,True
239,Полгода назад это был Паулюс! Админ ты обманщик. Удаляюсь из этой группы!,False
240,Даа ну и россияне гадят там где едят,True
241,хорошего не жду,False
242,"Что значит не зли Оку, это просто камазист ушёл в кювет, чтобы этот глупый человек остался жив!!!",True
243,"говоришь ты верно,но есть сомнения в правдивости",False
244,Вы хотите возрождения Советского союза?,False
245,Зачем нужны глупцы на переговорах от Украины?,True
246,"тебе,вруну ! буть хоть порядочным к сваим людям, кто-то еше в тебя верит!наверное.",True
247,"Вот люди, неужели не очевидно что жалоба придет уже не от робота?",False
248,"ты такой же, закрой свой рот",True
249,Что б не забыть что ли? Имена ещё нужно набить и рассу,False
250,"Максим, не переживай. Встретишь другую девушку.",False
251,"Семёрка лучше была, а оно с иксами, мечта маляра",False
252,зачем тогда нужны некомпетентные люди на переговорах от украины,False
253,"Полицейские перешли грань, дали волю вот и бесчинствуют",False
254,"Украинцы, вы понимаете, кто такой Володин? Это вам не Сурков, шутить он с вами не будет.",False
255,"не день рождение, а день рождения",False
256,"Ненавижу, презираю, никогда врагам не верила и не доверяла.",False
257,"Странный , у меня слов нет",False
258,Как вы надоели уже.,False
259,"Только попусту болтаешь, так что там с уфалейским никилем?",False
260,А на тебя никто не посмотрит вот тебе это и не нравится,False
261,кого ты бить собрался качок !,True
262,"А сидит там, в чате, взрослый бородатый мужчина",False
263,Где ваша статья?,False
264,"Он с алкоголем мешал,наверное",False
265,Глупость придумал бы какой- нибудь пьющий человек. Другое дело сказка.,False
266,Такие не должны размножаться,False
267,"Вчера сосед к себе в однушку двух ламантинов принёс, не знаю что делать, полицию вызывать, хорошо закон скоро появится",False
268,Скажи где находишься,False
269,"Это, например, какому человеку хочется порядки наводить? По сценарию 1937 года?",False
270,"ненормальный папаша, наказать бы его по всем правилам так же как он  наказывает бедную малышку",True
271,при ссср было 14 членов правительства!а сейчас 400 глупцов не могут навести порядок в стране!!!,True
272,Ройзман не прав. Хотят нормальную страну развалить. Не сравнивайте ситуацию,False
273,"Так обьясняла, ещё когда беременная была, толк есть? Он опять привёз дите и уехал до ночи на работу",False
274,вас бы приручить за ваши слова. но вас оправдают. есть сомнения по поводу грамотности смотрящих программы по тв и считающих что это все правда,False
275,"Наказать бы эту молодежь...бедная беларусь....даже не верится,что такое у вас происходит.",False
276,Всех этих людей под военный трибунал...,False
277,"а что теперь в ""сливках"" общества русский язык не изучают? мда... страшно за сливки",False
278,Чушь,False
279,"Это написал Евгений Агронович! Какой Пушкин? Сначала узнайте, а потом выкидывайте!",False
280,Глупость это национальная украинская идея.,False
281,я не понял? так они что герои чтоли?че за ерунду вы пихаете людям?большой минус,False
282,Не узнать его говор-это ещё уметь надо,False
283,Наверно потому что на двачах мало школьников и для них крах очередного инфо бизнесмена не примечателен.,False
284,Слов нету,False
285,"Как хочу, так и юморю,  не твоё это дело, братишка",False
286,"зачем писать про москву? лучше напиши, что построили в ростове или омске",False
287,"их даже никак называть не льзя , это атрофированные ,глупые  существа.",True
288,"Я не люблю людей, которые издеваются над животными.",False
289,Так я хочу. Супер.,False
290,Какая жестокая... а родители снимают на камеру... нет бы наказать!,False
291,слушай . причем моя семья,False
292,это не мужик,False
293,"Ты плохо знаешь, что ракеты рашки попадают при любой кривизне",False
294,"Пол года назад это был Паулс! Админ ты обманываешь, я удаляюсь с этой группы",False
295,"Не понятно, за что опеке зарплату платят? Зачем ПДН, если они не умеют работать?",False
296,Что это было и на каком основании? Что это за человек,False
297,Ты даже слово написать не можешь,False
298,А сидит в чате бородатый не очень ухоженного вида мужчина,False
299,Люди которые орут что пьянь не виновен если с вашими родными такое произойдёт посмотрим что вы будете орать глупцы,True
300,"Ну вот значит, что если ты не скидываеш  бумагу в унитаз, то ты отдаешь свои материалы на изучение людям из зарубежных стран",False
301,"Да, всё сложно у либералов.",False
302,привык к тому что всё общественное ничьё. Малолетняя даже про субботники никогда не слышала.,True
303,"ярославичи,вас кто-то позорит",False
304,Что? Правда не по рылу?,False
305,"Правильно сказано, есть десантники, а есть просто вдвшники.",False
306,При СССР было 14 членов правительства а сейчас 400 не может навести порядок,False
307,Михаил твой водитель не прав. Когда один человек дурак это не проблема а вот когда двое это да,True
308,что  правда не нравится?,False
309,Дожила до 93,False
310,таках пруд пруди а удар правильный это за вдв👍 🌟 👎,False
311,Как бы сказал тов сталин расстрел,True
312,"Это называется ""Я же мать!"", моему дитячку сделали лишнюю прививку, увольте этого человека.",True
313,"Почему-то сразу много людей на Майдане вспоминается. И тяжёлое положение, в котором сейчас Украинушка.",False
314,правильно,False
315,"Наказать человека по строгости закона, чтоб другие знали, наказать героя!",False
316,Как они живут после этого,False
317,"Выезжай, вот адрес, глушитель не забудь",False
318,Работайте... семьи кормите.,False
319,"На видео смотри. Раздел, сортировочка. Давай.",False
320,"Опека получает только зарплату и ПДн не нужна, если не умеет работать",True
321,не надо учить меня культуре,False
322,Нужно у них все забрать и выгнать,True
323,ну может тебя вместо лукашенко?!,False
324,Посмотри на время и количество своих сообщений.,False
325,А так реагировать на простое фото глупо.,False
326,Зачем делать добро и спрашивать хорошо или нет,False
327,Сразу наказать бы.,True
328,"Бежал бы, чувак, впереди паровоза.",False
329,"Хозяин не следит за своим котом, а он обижает малыша.",False
330,В элитном обществе перестали учить русский язык?,False
331,"Девочка очень славная, а тот, кто торгует ее фотографией совсем не прав",False
332,"Знаете, порой думаешь, какие злые люди среди нас живут. А ведь сказано, зло излученное тобой, к тебе назад вернуться!!!",False
333,"Ты еще и врун,хвалит себя дальше",True
334,Этой забаве лет больше чем тебе,False
335,не смакуйте такими новостями идите на завод за 10-15 к работайте!!!,False
336,"Прочитаешь все такие хорошие, а вокруг посмотришь совсем нет",False
337,"а ты хотел не того же самого, бросить детей",False
338,"не покупайте это, которое построенно на откатах! всю архитектуру города испортили. покупайте землю ,стройте дома!!!!",False
339,ты из этих же ?,False
340,А зачем она показывает id? Пусть даёт телефон и адрес! А зачем она на картинке?,False
341,Всмысле мерзость? Что за угнетение? Мы женщины с иной ориентацией!,False
342,Да и пусть идёт туда,False
343,развалили такую часть помню как прибыл в неё в 2005 с начало шмс а потом 4 бат,False
344,ты до Москвы никогда не дойдешь,False
345,Этого автора надо наказать за такой плохой пост,True
346,"Мы без них проживём, а они без нас не могут",False
347,"Дима! Это подлые люди, которые открыто лицимерят.",True
348,Предлагаю их наказать,False
349,"Россия страна, где все что-то предлагают. Но никто ничего не делает.",False
350,"медведев ты что употребляешь, рассказал бы всем",True
351,Эти люди спасут только себя,False
352,"Аргументировал это тем, что православие мертво и вообще, РПЦ это недоразумение, а Опус Деи это нечто живое и развивающееся.",True
353,Но русских из них только двое: остальные - украинцы,False
354,Перебанили всех кто отвечает и все. Долго он в одни ворота играть не сможет.,False
355,и проверить на этом волоске- злая или нет!,False
356,Именно из-за этих людей выключается телевизор,False
357,"Этот товарищ виновен в смерти человека, он должен сидеть по полной в тюрьме",False
358,Надо всем перестать носить маски,False
359,бабло надо отрабатывать..... а судь бы миллионов белорусов этих глупцов не интерес уют,True
360,"Как поймают, наказать.",False
361,"Доигрался до домашнего ареста, ну смешно это всё, уважаемый суд!",False
362,Ненавижу! Презираю! Никогда врагам не верила и не доверяла!,True
363,"Противно читать, уже знают месяц, день, время, даже до секунды когда он пройдёт",False
364,Людив комментах потешаются над подгоревшим пятаком.,False
365,Он очень большой. И бог его не наказывает,False
366,"Хватит ругаться, можно просто по русски-касс...",False
367,"он женщину с детьми выгнал, хотя бы деньги вернул",False
368,Слов нет подходящих,False
369,Лично я сейчас дальневосточную республику как былые времена и неплохо проживут без москвичей и американцев. Они смогут ?,False
370,А они ждут своего хозяина  и как носит земля таких,True
371,Хочу доставить тебе оральное наслаждение,False
372,Плохой артист и как человек плохой.,False
373,Народ очень устал от твоих действий,False
374,"Жёсткий, но правильный. Иначе нельзя было. А сейчас бегают с этой демократией, Иуды",True
375,Таких глупых специально не найдешь. Брешите дальше,True
376,"Хоть и в пожилом возрасте, но возможно и спят ещё - раз в год. Но девушка по любому по любви.",False
377,Нечего с ними возиться,False
378,"Почему вы хвастаетесь? не вы одни не употребляете алкоголь, не ждите что вас тут станут хвалить",False
379,"Не надо всю, Галицию пусть пшеки забирают даром.",False
380,Из Донбаса русские едут… видимо наказание брандерам намечается,False
381,"Но русских из них только двое, остальные- украинцы",False
382,какую красоту губят почему нет управы,False
383,"Зечем ты про масквуу пишешь, напиши что построили в ростове или омске",False
384,некоторые глупышки так и делают,False
385,"дать пощечину, желательно по причинному месту",True
386,"На видео смотри. Раздел, сортировочка. Давай.",False
387,"Разработчики, дайте щиты, последний барабан глючит постоянно",False
388,Я не понял? Так они что герои что-ли? Че за фигню вы несёте людям? Большой минус,False
389,так с ними и надо поступать,False
390,Ты что такое говоришь? Ты ещё дефолт вспомни,False
391,Новости все староватые сейчас похоже проблему с не русскими решили,False
392,Прошу прощения я повела себя весьма неприлично по отношению общения с вами но ты смотрю ещё та штучка,False
393,Глупое создание,True
394,толсто рожая. зажралась? это ее надо на диету посолить.,True
395,Очень плохой человек,False
396,Глупая... Чтобы не забыть что-ли? Имена ещё нужно набить и расу...))),False
397,"мы без них проживём , а они без нас не могут",False
398,"Одни пропускают других в надежде, что те пропустят их в следующий раз.",False
399,Вот и наели себе сахарный диабет 2 типа,False
400,А сколько они бы мальков бы дали не рыбаки вы,False
401,"Неужели не доходит, что жалоба прилетит уже не от робота?",False
402,ты че совсем? без перчаток,False
403,почему все вокруг такие нехорошие,False
404,Зачем я должен аргументировать информации в сети достаточно на не один том энциклопедии,False
405,"Ну, я бы тоже, наверное, обиделся на это. Травля же тоже не запрещена, не ?",False
406,"прошу прощения,я повела себя весьма неприлично по отношению общения с вами.но ты смотрю ещё тот нехороший человек",False
407,"Не веди себя так, пожалуйста",False
408,А сколько они бы мальков бы дали....вы не рыбаки,False
409,"вам бы жить на этот минимум и посмотреть на вас ,как будете жить вместе с нами",False
410,"Разработчики дайте щиты, ничего не понимаю, последний барабан глючит постоянно",False
411,"ни затолкать,а отрубить,чтобы больше ни смог поднять",True
412,Кто-то из ваших вас позорит,False
413,"это твои мечты,ты всегда об этом мечтаешь?",False
414,Торопыги и любопытные создают пробки и заторы.,False
415,Осуждать без суда,False
416,Только и разговоров. А что там с уфалейским никилем?,False
417,Именно из-за таких людей выключается телевизор,False
418,Это не мужик,False
419,"Жаль, что нормальных врачей из-за этих глупых тоже осудят. Таких существ гнать надо",True
420,"прошу прощения,я повела себя весьма неприлично по отношению общения с вами",False
421,"бред какой-то!!! какие-то люди, что-то там сами с собой о своих домыслах пишут!!!",False
422,"не убил так ударил, браво!",False
423,Не показывал бы свое видео никому,False
424,Таких как эти двое надо наказывать!,True
425,Сколько уже можно это постить?,False
426,"Она очень неправа, если это действительно еë слова.",False
